text;label;note
"1. South Africa's Themba Zwane handed three-match ban for red card against Mexico in FIFA World Cup opener
Comments:
**shocked zwane face**
Damn, thanks for coming
Early flight home";Drive-By Drop;
"2. A group of DR Congo fans celebrate Wissa’s goal at a Lisbon fan zone
The joy of the world cup
Not a single person being hostile towards them is honestly an advertisement for how civil it is there";Human-Interest/Color;
"3. Ole Werner relived of his duties as coach of RB Leipzig

Why though?
And I think it's ""relieved""
But tbf the headline on the website is like that too, so I won't blame OP";Drive-By Drop;
"4. Portugal 1 - [1] D.R. Congo - Wissa Y. goal 49'

Newcastles superstar striker
 	Need his celebration on FIFA ASAP
	Equals his PL goal tally from last season with that goal.";Drive-By Drop;
"5. Elye Wahi arrested for alleged fixing offences on eve of tournament

Roughly €1.8m a year salary btw. Greed is a disease of the mind
	could also be some kind of blackmail(I use the Emmanuel Clase’s case in the MLB as an example, why would someone with a 6 million dollar salary throw away their career for a few thousand dollars)";Analytical/Speculative Take;
"6. [VI] AZ in talks with Kees Smit over contract extension

Surely it's just to drive up his price
	Yeah, his current deal still runs for 2 more years, so likely bumping up his wages and driving up his price";Analytical/Speculative Take;
"7. Barcelona has sent a formal letter to the presidents of LaLiga, Javier Tebas; the Spanish Football Federation (RFEF), Rafael Louzán; and of the Referee's Technical Committee (CTA), Francisco Soto, in relation to the statements made by Florentino Pérez.
Once again, never a dull day in LaLiga

Can these two old lovers have a day off we're enjoying the WC";Drive-By Drop;
"8. Cape Verde goalkeeper Vozinha’s mother granted US visa, will attend match in Miami

If I know anything about football, he is going to concede 6 goals next game and they will pan to his mother in the crowd.
	The football gods don't have mercy on anyone 
	Like back in 2010 North Korea performed admirably and only lost 2-1 to Brazil in the opening game so they decided to broadcast the next game live in their country only for them to lose 7-0 to Portugal lol";Human-Interest/Color;
"9. [The Athletic] Zaire, that World Cup free kick and the sad story behind one of the World Cup’s strangest moments

Hate the fact that for a long time it was simply viewed as ""Ah bless, the stupid savages don't even know the rules"" rather than people engaging their brains to think
	TBF, the real story - a dictator threatening to murder the team and their families if they lose - is not that much more flattering.
	Yeah, I remember seeing an old BBC show about the strangest World Cup moments (which is where I also learned about the Disgrace of Gijon) and everyone there agreed that in hindsight, they would have done the same things. Like you want to see your wife and kids again and on the off chance there's a loophole that kicking away the free kick would work, I would have done it too";Analytical/Speculative Take;"#9 (Zaire free kick) is Analytical, not Human-Interest, because per your ""framing vs. outcome"" rule, the comments build a real argument about whether the protest was justified, even though the headline framed it as a sad story."
"10. Croatia fans in Dallas (video)

I am both super hyped for their game this afternoon, and extremely anxious LOL

";Human-Interest/Color;
"11. At 41 years and 132 days, Cristiano Ronaldo becomes the oldest outfield player to start a match in FIFA World Cup history.
Until he does it again in 2030 at 45.
	Until he does it again for Portugals next group game....";Drive-By Drop;
"12. Brazilian reporter spends 4 minutes hyping up Argentine fans for a live TV celebration... then they cut to commercial

When I was in South Africa for the 2010 World Cup a Korean T.V show shot a segment with us for 30 minutes (including rehearsing their script) only for it to never air.
	However, to their credit they gave us free tickets to watch the Uruguay v. South Korea Round of 16 match. So it was totally worth it.

Hahahah. The World need to know Defante. In Catar we went to someone house and pet a lion";Human-Interest/Color;
"13. [Jose Felix Diaz] Florentino Perez sees Michael Olise as the true Galactico signing of the summer. Real Madrid will make an offer for him after the World Cup. The club is prepared to go to extraordinary lengths, allegedly willing to offer even bigger than the amount submitted for Mbappe in 2021.
Just PR stuff.
They know Bayern wont sell so will bid 180 or 200 mil to show how serious they are. No different to their Alverez bid
People old enough remember what happened when Madrid tried to buy Ribery from Bayern. Unless Olise has some hidden release clause that noone knows about , this isnt happening .

Even if they offered 250m, how does that help Bayern improve their team? They're not finding another winger anywhere near his level anyway.";Analytical/Speculative Take;
